Feature,Importance
home_defence_delta,9.87552502103117
away_elo,9.872099393599676
home_elo,9.799989252707116
away_defence_delta,9.068972263616768
league_total_xg,9.013264711687906
home_attack_delta,8.66368488383873
away_win,7.249509258389867
away_defence,6.799999663568517
home_xg,6.33023519903178
home_attack,6.276015584642297
home_win,6.041017831530583
home_rest_days,4.226230254172028
away_rest_days,3.7536001526381484
rest_diff,3.029856529545423
